"","genre","avgFollowers"
"3286","acid rock",6296517.5
"3416","barbadian pop",4621782
"7177","old school thrash",4045619.14285714
"1181","permanent wave",3884974
"879","canadian pop",3678722.87341772
"3204","beatlesque",3380635.92857143
"1150","canadian pop punk",3286215
"1123","reggaeton colombiano",3243280.56140351
"6652","uk doom metal",3207442.5
"1249","puerto rican pop",2998154.96551724
"1427","british invasion",2992934.13333333
"7604","sheffield indie",2958423.83333333
"2502","k-pop boy group",2950541.53571429
"6717","nu metal",2880854.69090909
"441","glam rock",2865450.1875
"1111","classic rock",2857932.704
"865","funk metal",2829909.9375
"1959","glam metal",2769947.05555556
"731"," classic rock",2740728
"31","alternative metal",2717469.14666667
"3262","hard rock",2533030.16304348
"6276","chicago hardcore",2530578
"1740","post-teen pop",2530468.59174312
"7288","el paso indie",2402348.5
"7662","grunge",2377956.98039216
"338","album rock",2376359.07368421
"3506","australian psych",2308529.33333333
"1471","boy band",2297095.68292683
"2273","detroit hip hop",2241780.51351351
"4921","sertanejo universitario",2195173.45945946
"910","k-pop girl group",2174899.08
"6415"," doom metal",2142097.66666667
"7021","mississippi hip hop",2134834.75
"36","dance pop",2128196.53597122
"2238","trap latino",2112234.65359477
"2283","miami hip hop",2089307.3
"5353","rock brasiliense",2074317.75
"6413","sitar",2072330.34745763
"7316","spacegrunge",2047166.5
"5876","hare krishna",2003962.3
"4800","qawwali",2001193.625
"1967","dfw rap",1992531.43478261
"7167","hard rock brasileiro",1956809.6
"6257","german hard rock",1945058
"4927","proto-metal",1933015.66666667
"862","modern bollywood",1912468.18146718
"2468","teen pop",1910250.51505017
"6589","rap metal",1895709.4047619
"5284","pittsburgh rap",1888157.4
"51","arrocha",1882569.63716814
"6466","merseybeat",1870756
"394","desi pop",1858776.20658683
"3000","indonesian alternative rock",1853051.2
"416","latin pop",1845761.92114695
"6916","sufi",1832710.7
"1661","mariachi",1738747.85714286
"6906","south carolina hip hop",1695180.33333333
"1531","pop soul",1694988.65625
"1725","filmi",1686725.98016997
"1211","mexican pop",1675789.37
"6922","desi trap",1653504.36842105
"2512","toronto rap",1625122.12
"62","uk pop",1605872.87852495
"1176","colombian pop",1598687.11956522
"6253","urban contemporary",1570225.92490119
"5838","detroit rock",1538563.4
"74","latin arena pop",1534147.89361702
"3232","hawaiian hip hop",1524054.33333333
"1673","madchester",1521569.75
