"","genre","followers"
"1226","pop",7724692320
"37"," pop",5745544537
"1529","rap",3215295512
"462","hip hop",2570501825
"56"," hip hop",2415251828
"303"," rock",2000355525
"36","dance pop",1774915911
"741","trap",1638669705
"57"," rap",1447396761
"1238","reggae",824942653
"1299","alte",823921876
"62","uk pop",740307397
"2027","electro",731912567
"2462","r&b",712075998
"312","reggaeton",703929276
"2238","trap latino",646343804
"1132","pop rap",635851155
"394","desi pop",620831253
"1725","filmi",595414271
"2468","teen pop",571164904
"1740","post-teen pop",551642153
"1441","house",518676000
"416","latin pop",514967576
"70"," house",505485136
"862","modern bollywood",495329259
"101","k-pop",441116166
"5885","soul",422829614
"208","edm",412821446
"6253","urban contemporary",397267159
"5543","tropical",393258909
"86"," r&b",392952614
"3279","metal",388258488
"4782","wave",386822114
"2322"," wave",367853398
"2047","ai",366950064
"1111","classic rock",357241588
"380"," trap",356153484
"1363"," alte",354343042
"823","electropop",351166273
"762"," soul",350870386
"342"," metal",350209703
"5889","southern hip hop",347349869
"1964","pop dance",330962597
"4009","spa",328447000
"452","pop rock",325755380
"1157","modern rock",324363550
"2552","folk",319090654
"895","musica mexicana",315399452
"142","latin hip hop",314561665
"3025","country",308179858
"103","sertanejo",303285965
"879","canadian pop",290619107
"1181","permanent wave",287488076
"2002","gangster rap",284462149
"500","alternative rock",282758843
"1358","electro house",260935037
"6413","sitar",244534981
"4082","singer-songwriter",244110475
"4921","sertanejo universitario",243664254
"3262","hard rock",233038775
"1063","melodic rap",229870444
"432"," country",227252362
"2203","hip pop",226215077
"338","album rock",225754112
"1855","mellow gold",222256395
"102","tropical house",217806871
"448","funk carioca",216749891
"51","arrocha",212730369
"4850","ranchera",211039608
"31","alternative metal",203810186
"3507","soft rock",201658001
"808","sertanejo pop",198508058
"1997","indie pop",197459174
"1429","contemporary r&b",197401708
"378","atl hip hop",187178122
"109","contemporary country",186416492
"7277","rock en espanol",185377416
"1123","reggaeton colombiano",184866992
"1621","punk",183668339
"473"," musica mexicana",182091193
"1981","nueva musica mexicana",182091193
"1044","reggaeton flow",179729828
"225","art pop",179097213
"937","neo mellow",176504825
"2615","girl group",171966725
"1211","mexican pop",167578937
"2502","k-pop boy group",165230326
"1050","neo soul",164422093
"258","desi hip hop",163093322
"3556"," electro",158904031
"6717","nu metal",158447008
"1624","viral pop",154118034
"1176","colombian pop",147079215
"243","j-pop",146406406
"167","french hip hop",144534263
"74","latin arena pop",144209902
"750","latin alternative",142609659
"5797","jazz",141990158
"982","pop urbaine",140113866
"253"," folk",137139167
"88","indonesian pop",135925944
"7773","folk rock",134114261
"1423","emo",127546824
"443","latin rock",126433912
"3886","country rock",123972296
"256"," singer-songwriter",123904887
"1472"," alternative rock",122947299
"2461","underground hip hop",122460102
"7662","grunge",121275806
"276","turkish pop",118996431
"376","mpb",118110169
"1166"," girl group",115971931
"729","blues",113103223
"1286","banda",111999667
"3445","oi",111812074
"471","corrido",111577033
"1007","punjabi pop",110214508
"1152"," punk",109539165
"910","k-pop girl group",108744954
"3440"," reggae",108490311
"2727","viral rap",108462700
"63","opm",108455021
"1669","norteno",108131437
"769"," jazz",107835783
"2030","pop nacional",105246014
"4434","hardcore",105101162
"16","francoton",104968214
"2283","miami hip hop",104465365
"583","conscious hip hop",104195837
"836","new wave",104082443
"1200","talent show",103972824
"5161","quiet storm",103232815
"415","italian pop",95460330
"1730","indie rock",95261496
"1471","boy band",94180923
"709","chicago rap",92994452
"1402","east coast hip hop",92359555
"758","disco",92116031
"441","glam rock",91694406
"4878","drill",91218358
"1359","pagode",91096483
"131","alt z",89409457
"3014"," contemporary r&b",88921570
"2435","dirty south rap",88647597
"817","spanish pop",88362076
"4115","hardcore hip hop",88206052
"187"," edm",87927543
"889","art rock",87798315
"1249","puerto rican pop",86946494
"7188","west coast rap",86793087
"938","canadian hip hop",85763626
"949","adult standards",85725366
"531","classic bollywood",85530879
"2034","progressive house",84636600
"1298","blues rock",84087300
"581","new wave pop",83269250
"66","german hip hop",83135121
"2273","detroit hip hop",82945879
"308","australian pop",81983996
"2512","toronto rap",81256106
"1767","emo rap",80384528
"550","pop punk",79717835
"6589","rap metal",79619795
"1481","cumbia",78514355
"1165","tamil pop",77505947
"68"," electro house",76545191
"2372","progressive electro house",76545191
"1317","trap argentino",75192667
"6916","sufi",73308428
"2107","metropopolis",73193824
"2320","canadian contemporary r&b",72392481
"128"," pop rock",72238323
"552","brazilian rock",72216607
"382","italian adult pop",72076343
"160","brazilian hip hop",71534335
"1557","rap francais",70309056
"743","europop",69638470
"1627","electronica",69586508
"602","british soul",68886772
"1845"," drill",68879784
"1463","indietronica",68841350
"1121","pop r&b",68082929
"463","indie poptimism",67849904
"487","argentine rock",67182667
"229","italian hip hop",67099523
"4607"," blues",65947425
"2796","funk paulista",65710046
"3085","classical",65571115
"227","arab pop",64160302
"997","brostep",63870423
"649","forro",63280824
"298","argentine hip hop",62989702
"1366","turkish trap",62623862
"1661","mariachi",60856175
"524","mexican hip hop",59853292
"336","alternative r&b",58138669
"205","anime",57039228
"1500","j-rock",57032055
"7106","synthpop",56057207
